k,ave,score1,score2,score3,score4
2,0.2278635079546207,0.22787406035543076,0.22785999048768402,0.22785999048768402,0.22785999048768402
3,0.1951081697106406,0.2191720549424993,0.17241946680835057,0.16960324011494088,0.21923791697677164
4,0.1764581731747092,0.18102842685075599,0.16258391434721164,0.18122841640680892,0.18099193509406017
5,0.15918614852555762,0.1591290391415526,0.1592462909667853,0.15924022485234,0.1591290391415526
6,0.1497351883132277,0.15505094997038746,0.1864608934025546,0.12356463535255668,0.13386427452741215
7,0.14580265920416216,0.13630450726170923,0.1516968611080398,0.1474033464632142,0.14780592198368547
8,0.13509606276430136,0.15058499039896542,0.12389417702742393,0.13175808238007108,0.134147001250745
9,0.1273829966478951,0.12921529081878871,0.13211415865500356,0.11887048459941532,0.1293320525183727
10,0.1252596342079665,0.11942097785657073,0.12611952654517206,0.12455939256311598,0.13093863986700727
11,0.126940991329771,0.13079429456039113,0.12328147314017106,0.13320407517842386,0.12048412244009793
12,0.12453891669145484,0.11571821147897714,0.12602247264842614,0.12493416156999422,0.13148082106842182
13,0.12444800162653955,0.10671667585980343,0.1289324142642709,0.12684776512595494,0.13529515125612887
14,0.12659213059696356,0.13019704873915441,0.12851697978731705,0.12645260677338108,0.12120188708800178
15,0.11676334361964322,0.11242233612087434,0.12738957301658846,0.1135218082337402,0.11371965710736985
16,0.11728315508166628,0.12961630384851555,0.10104622235552375,0.11173683462407187,0.126733259498554
17,0.11818242250110608,0.12255403828985985,0.1199024229892841,0.10971236534710223,0.12056086337817819
18,0.11178000423285549,0.10892992542005141,0.11573065196661604,0.10435060878709043,0.11810883075766403
19,0.11538175185957586,0.11408859952953536,0.11777342660615667,0.12315939900100249,0.10650558230160898
20,0.10822547807563032,0.11357349614304588,0.1145411954491258,0.10132748753274394,0.10345973317760562
21,0.11018771626562482,0.11278836362511142,0.1021775303934509,0.11590786529377611,0.10987710575016088
22,0.10908090138698445,0.10234160642853804,0.11407022501531988,0.11556456932601226,0.10434720477806764
23,0.1048816277085134,0.1065505334695848,0.10332663123290733,0.09769317618344354,0.11195616994811797
24,0.10890726490066585,0.1209596182496306,0.11070338563637937,0.10618907202583845,0.09777698369081503
25,0.11351757501826884,0.11524717074395692,0.11751545282999606,0.10921843595831561,0.11208924054080675
26,0.10758183756319267,0.11082148313431996,0.10772757871776033,0.10152167299181364,0.11025661540887677
27,0.10296021838359337,0.11014052240775034,0.10950682282204566,0.09773488169900449,0.09445864660557299
28,0.1048098643830121,0.10413109965427539,0.1005697192884719,0.10989181260012018,0.10464682598918099
29,0.10435338245885098,0.10608173883655013,0.11182919420620799,0.09251474980144925,0.10698784699119654
30,0.10405650810026629,0.11034095535500942,0.10099141706213079,0.10902463523265579,0.09586902475126913
31,0.10362508402525177,0.10978030432648357,0.10803433109371997,0.09573308692951782,0.10095261375128566
32,0.10152180456460407,0.10079794043606861,0.10745174346778572,0.10480518051553894,0.09303235383902299
33,0.10437042487375067,0.11307640653167836,0.10833258755170429,0.09586532418591404,0.10020738122570598
34,0.10317585282553439,0.09773209576122019,0.11159397949633666,0.10398160858703791,0.09939572745754276
35,0.10776845930772089,0.11168369746576269,0.10692093286099265,0.10459790146029484,0.1078713054438334
36,0.10460647886371335,0.1050091573290665,0.10181751624787194,0.10380357603858463,0.10779566583933034
37,0.10454639310170441,0.10224090452360113,0.10447125188370668,0.11088070309355667,0.10059271290595315
38,0.10087236326148336,0.09677706934350273,0.1043976200647216,0.09606907524662354,0.10624568839108559
39,0.10410839730927662,0.0929910866480827,0.10980521780893945,0.11085987337083197,0.10277741140925231
40,0.10623135911942945,0.10182741617424826,0.11104095725521294,0.10754999213477545,0.10450707091348117
41,0.10165714959999192,0.09432975673953964,0.09948744598028149,0.10241969349613678,0.1103917021840098
42,0.10098085013649954,0.10102871783171886,0.10380575730538887,0.09997102281466376,0.09911790259422672
43,0.1079095672894399,0.10813122494360555,0.10560280003001986,0.10202564567775173,0.11587859850638246
44,0.10480693335321756,0.10585783890012633,0.10392876302208941,0.09894147700799749,0.11049965448265696
45,0.10262058167778383,0.1104263275261115,0.10422538901841985,0.09938217980635368,0.09644843036025029
46,0.10562117497078358,0.10698534993298237,0.10879086740096998,0.10344313853442542,0.1032653440147565
47,0.1030559198079375,0.10552615570886355,0.10847283158961579,0.10168517352314438,0.09653951841012633
48,0.106675367662571,0.11725404117807295,0.0997386714683838,0.1089761213007496,0.10073263670307771
49,0.10626985393792078,0.10663798087287761,0.10641569702954996,0.10892666810578909,0.10309906974346644
