k,ave,score1,score2,score3,score4
2,0.23156389580077952,0.2340751195723973,0.2307268212102403,0.2307268212102403,0.2307268212102403
3,0.2359310456927442,0.24260516484494002,0.23809887018589324,0.2246052816344165,0.23841486610572699
4,0.26084224706727527,0.2608427978129728,0.26084206348537614,0.26084206348537614,0.26084206348537614
5,0.22991117945695408,0.22749118307221167,0.22749118307221167,0.23719464021112793,0.2274677114722651
6,0.2167593242427004,0.20589459288115394,0.20285605158880085,0.25779515534179614,0.20049149715905054
7,0.1970853866758564,0.20042504784430615,0.2058835673170019,0.200455765419566,0.1815771661225516
8,0.18856850094806699,0.20080482658010204,0.20295892598953436,0.18228208709344984,0.1682281641291817
9,0.1899403797265813,0.19777466581984818,0.1843854127969923,0.1877121679174066,0.18988927237207806
10,0.17119850048664403,0.17879015157584602,0.16021579806761024,0.17318305383885135,0.17260499846426858
11,0.17480592532257958,0.18079278064109577,0.19189866306817796,0.16604245694875347,0.16048980063229115
12,0.16495174017188893,0.16768236757856586,0.16338059081462428,0.1612302894295633,0.16751371286480235
13,0.16425175304322473,0.16504674669827235,0.17094459568134118,0.1601260495904515,0.1608896202028339
14,0.15568802017287972,0.1581053940052173,0.155754663891437,0.1515409579809048,0.15735106481395975
15,0.15924906630200766,0.1476085743875736,0.16031366215670378,0.16155622544458123,0.16751780321917195
16,0.1566921133371768,0.15807821356262267,0.1521084199958704,0.15940036428777674,0.1571814555024375
17,0.15314255826825285,0.1547925745022002,0.16246502948762806,0.1479054224407943,0.1474072066423888
18,0.15326387283675794,0.1519498540766352,0.1570613313357464,0.1554048754665267,0.14863943046812342
19,0.15253368773308,0.1543326297657158,0.14916540354017083,0.15640613103380727,0.15023058659262598
20,0.1533069802246118,0.1513178805190962,0.15491405941591427,0.15497567045030536,0.1520203105131314
21,0.14944599303664238,0.15468303944059722,0.14468685530619996,0.1521966929946886,0.14621738440508372
22,0.15035311394137496,0.15708734441869457,0.1535661281823969,0.13753171217517046,0.1532272709892379
23,0.14897165808224946,0.15274113695080016,0.15145446319864486,0.14592858982828252,0.14576244235127037
24,0.15095982421170723,0.14998385371673326,0.1517200141377801,0.1484811761935398,0.1536542527987757
25,0.1465580838949506,0.1351078870117931,0.1418512330737406,0.15160118810322018,0.15767202739104846
26,0.1477181738822777,0.15416693830668843,0.15451556566468844,0.13767752370651518,0.1445126678512188
27,0.14808799414278612,0.14677204488598622,0.14405367497418503,0.15651812900764447,0.1450081277033287
28,0.14861131793680155,0.1424111720987196,0.1410804700253225,0.1563407943005863,0.1546128353225777
29,0.14527617095641088,0.1404967791301052,0.14563716182299474,0.14972313138108476,0.1452476114914588
30,0.14579058226043617,0.14175522724563847,0.1454920635945133,0.1506878184969799,0.14522721970461305
31,0.1460629649547107,0.1428199437846275,0.1507902136071611,0.1482335223734859,0.14240818005356828
32,0.14201857193910156,0.1477202547674265,0.13554885840286066,0.1414674390258665,0.14333773556025253
33,0.14802248983155838,0.14711400842498068,0.14808335069207565,0.14793511934256748,0.14895748086660973
34,0.1397726935959347,0.14240579113346458,0.13475705014120878,0.13760825059299653,0.1443196825160689
35,0.14117480588361475,0.14357480856746474,0.144512573410524,0.1416292441396442,0.134982597416826
36,0.13968926245583388,0.1417157834493219,0.1391006893266309,0.13833483764035517,0.13960573940702756
37,0.13856025630769325,0.14101886470732916,0.14125998959775077,0.13942771710794374,0.13253445381774934
38,0.1455875992687928,0.14388325965028415,0.14498873133119886,0.14410193339593366,0.14937647269775456
39,0.14044923529434014,0.14027467713830666,0.14441313583766652,0.13571062225070277,0.14139850595068457
40,0.1444388129700554,0.14252461189516172,0.142548075346842,0.1435435173903019,0.14913904724791588
41,0.14459023040226654,0.13974296632882308,0.15048889472425678,0.1401498520267121,0.14797920852927424
42,0.1417471359354388,0.14195150931051145,0.1428487525668416,0.13889110303958319,0.14329717882481896
43,0.14223946356236117,0.13906407954564334,0.14351080997142507,0.14579731687641323,0.14058564785596298
44,0.14308460846877358,0.13700739685398136,0.14374747547434277,0.14672149961269798,0.1448620619340722
45,0.14459594131314907,0.14588681710663487,0.1415394983709205,0.14513726532555518,0.14582018444948575
46,0.1442920972372277,0.1408161732448189,0.14148499817840138,0.15171788517047252,0.14314933235521787
47,0.1433898876653324,0.14657814909080777,0.1457443725113664,0.14250574272315547,0.13873128633599993
48,0.14688669900774237,0.14520162211926185,0.14862013732041232,0.14487595157441646,0.14884908501687888
49,0.14491998644146195,0.14971606587724712,0.14615460038225092,0.1405540599057269,0.1432552196006229
